namespace,key,zh-TW,zh-CN,en,ja,ko,th,vi,id,ms,tl,es,pt,fr,de,it,ru,ar,hi,bn,tr,pl,uk,nl,sv,no,da,fi,cs,el,he,fa,ur,sw,ro
admin,addAlreadyAdmin,❌ 此用戶已經是管理員。,❌ 此用户已经是管理员。,❌ This user is already an admin.,,,,,,,,,,,,,,❌ هذا المستخدم هو بالفعل مشرف.,,,,,,,,,,,,,,,,,
admin,addAlreadySuperAdmin,❌ 此用戶已經是超級管理員，無需添加。,❌ 此用户已经是超级管理员，无需添加。,"❌ This user is already a super admin, no need to add.",,,,,,,,,,,,,,❌ هذا المستخدم هو بالفعل مشرف فائق، لا حاجة للإضافة.,,,,,,,,,,,,,,,,,
admin,addInstructions,"⚠️ **注意**

此命令需要手動修改配置文件。

**步驟：**
1. 編輯 `wrangler.toml`
2. 找到 `ADMIN_USER_IDS` 變數
3. 添加用戶 ID：`{userId}`
4. 格式：`ADMIN_USER_IDS = ""ID1,ID2,{userId}""`
5. 重新部署：`pnpm deploy:staging`

**用戶資訊：**
• ID: `{userId}`
• 暱稱: {nickname}
• 用戶名: @{username}

💡 或在 Cloudflare Dashboard 中修改環境變數","⚠️ **注意**

此命令需要手动修改配置文件。

**步骤：**
1. 编辑 `wrangler.toml`
2. 找到 `ADMIN_USER_IDS` 变数
3. 添加用户 ID：`{userId}`
4. 格式：`ADMIN_USER_IDS = ""ID1,ID2,{userId}""`
5. 重新部署：`pnpm deploy:staging`

**用户资讯：**
• ID: `{userId}`
• 昵称: {nickname}
• 用户名: @{username}

💡 或在 Cloudflare Dashboard 中修改环境变数","⚠️ **Note**

This command requires manual modification of the configuration file.

**Steps:**
1. Edit `wrangler.toml`
2. Find the `ADMIN_USER_IDS` variable
3. Add user ID: `{userId}`
4. Format: `ADMIN_USER_IDS = ""ID1,ID2,{userId}""`
5. Redeploy: `pnpm deploy:staging`

**User Information:**
• ID: `{userId}`
• Nickname: {nickname}
• Username: @{username}

💡 Or modify the environment variables in the Cloudflare Dashboard.",,,,,,,,,,,,,,"⚠️ **ملاحظة**

هذه السمة تتطلب تعديلًا يدويًا لملف التكوين.

**الخطوات:**
1. تحرير `wrangler.toml`
2. العثور على متغير `ADMIN_USER_IDS`
3. إضافة معرف المستخدم: `{userId}`
4. التنسيق: `ADMIN_USER_IDS = ""ID1,ID2,{userId}""`
5. إعادة نشر: `pnpm deploy:staging`

**معلومات المستخدم:**
• المعرف: `{userId}`
• اللقب: {nickname}
• اسم المستخدم: @{username}

💡 أو تعديل متغيرات البيئة في لوحة تحكم Cloudflare",,,,,,,,,,,,,,,,,
admin,addUsageError,"❌ 使用方法錯誤

**正確格式：**
`/admin_add <user_id>`

**示例：**
`/admin_add 123456789` - 添加為普通管理員

💡 使用 /admin_list 查看當前管理員列表","❌ 使用方法错误

**正确格式：**
`/admin_add `

**示例：**
`/admin_add 123456789` - 添加为普通管理员

💡 使用 /admin_list 查看当前管理员列表","❌ Incorrect usage

**Correct format:**
`/admin_add `

**Example:**
`/admin_add 123456789` - Add as a regular admin

💡 Use /admin_list to view the current admin list.",,,,,,,,,,,,,,"❌ استخدام غير صحيح

**التنسيق الصحيح:**
`/admin_add `

**مثال:**
`/admin_add 123456789` - إضافة كمشرف عادي

💡 استخدم /admin_list لعرض قائمة المشرفين الحالية",,,,,,,,,,,,,,,,,
admin,addUserNotFound,❌ 用戶不存在或未註冊。,❌ 用户不存在或未注册。,❌ User does not exist or is not registered.,,,,,,,,,,,,,,❌ المستخدم غير موجود أو غير مسجل.,,,,,,,,,,,,,,,,,
admin,appealsNoRecords,✅ 目前沒有待審核的申訴。,✅ 目前没有待审核的申诉。,"✅ Currently, there are no pending appeals.",,,,,,,,,,,,,,✅ لا توجد طعون معلقة حاليًا.,,,,,,,,,,,,,,,,,
admin,appealsRecordItem,"**申訴 #{id}**
• 用戶: {nickname} (`{userId}`)
• 提交時間: {time}
• 理由: {reason}

使用 /admin_approve {id} 批准
使用 /admin_reject {id} 拒絕","**申诉 #{id}**
• 用户: {nickname} (`{userId}`)
• 提交时间: {time}
• 理由: {reason}

使用 /admin_approve {id} 批准
使用 /admin_reject {id} 拒绝","**Appeal #{id}**
• User: {nickname} (`{userId}`)
• Submission Time: {time}
• Reason: {reason}

Use /admin_approve {id} to approve
Use /admin_reject {id} to reject",,,,,,,,,,,,,,"**الطعون #{id}**
• المستخدم: {nickname} (`{userId}`)
• وقت التقديم: {time}
• السبب: {reason}

استخدم /admin_approve {id} للموافقة
استخدم /admin_reject {id} للاعتراض",,,,,,,,,,,,,,,,,
admin,appealsTitle,📋 待審核申訴,📋 待审核申诉,📋 Pending appeals,,,,,,,,,,,,,,📋 الطعون المعلقة,,,,,,,,,,,,,,,,,
admin,approveAlreadyReviewed,❌ 此申訴已經被審核過了。,❌ 此申诉已经被审核过了。,❌ This appeal has already been reviewed.,,,,,,,,,,,,,,❌ تم مراجعة هذا الطعن بالفعل.,,,,,,,,,,,,,,,,,
admin,approveNotFound,❌ 找不到此申訴記錄。,❌ 找不到此申诉记录。,❌ Cannot find this appeal record.,,,,,,,,,,,,,,❌ غير قادر على العثور على سجل هذا الطعن.,,,,,,,,,,,,,,,,,
admin,approveSuccess,"✅ 已批准申訴

• 申訴 ID: #{id}
• 用戶: {nickname} (`{userId}`)
• 審核備註: {notes}

已自動解除封禁並通知用戶。","✅ 已批准申诉

• 申诉 ID: #{id}
• 用户: {nickname} (`{userId}`)
• 审核备注: {notes}

已自动解除封禁并通知用户。","✅ Approved appeal

• Appeal ID: #{id}
• User: {nickname} (`{userId}`)
• Review Notes: {notes}

User has been automatically unbanned and notified.",,,,,,,,,,,,,,"✅ الطعن المعتمد

• معرف الطعن: #{id}
• المستخدم: {nickname} (`{userId}`)
• ملاحظات المراجعة: {notes}

تم رفع الحظر تلقائيًا وتم إبلاغ المستخدم.",,,,,,,,,,,,,,,,,
admin,approveUsageError,"❌ 使用方法錯誤

**正確格式：**
`/admin_approve <appeal_id> [備註]`

**示例：**
`/admin_approve 1` - 批准申訴
`/admin_approve 1 經審核確認為誤判` - 批准並添加備註","❌ 使用方法错误

**正确格式：**
`/admin_approve [备注]`

**示例：**
`/admin_approve 1` - 批准申诉
`/admin_approve 1 经审核确认为误判` - 批准并添加备注","❌ Incorrect usage

**Correct format:**
`/admin_approve [notes]`

**Example:**
`/admin_approve 1` - Approve the appeal
`/admin_approve 1 confirmed as a mistaken judgment` - Approve and add notes",,,,,,,,,,,,,,"❌ استخدام غير صحيح

**التنسيق الصحيح:**
`/admin_approve [notes]`

**مثال:**
`/admin_approve 1` - الموافقة على الطعن
`/admin_approve 1 تم تأكيده كحكم خاطئ` - الموافقة وإضافة ملاحظات",,,,,,,,,,,,,,,,,
admin,banSuccess,"✅ 已封禁用戶

• 用戶 ID: `{userId}`
• 暱稱: {nickname}
• 封禁時長: {duration}
• 解封時間: {unbanTime}","✅ 已封禁用户

• 用户 ID: `{userId}`
• 昵称: {nickname}
• 封禁时长: {duration}
• 解封时间: {unbanTime}","✅ User has been banned

• User ID: `{userId}`
• Nickname: {nickname}
• Ban Duration: {duration}
• Unban Time: {unbanTime}",,,,,,,,,,,,,,"✅ تم حظر المستخدم

• معرف المستخدم: `{userId}`
• اللقب: {nickname}
• مدة الحظر: {duration}
• وقت إزالة الحظر: {unbanTime}",,,,,,,,,,,,,,,,,
admin,banSuccessPermanent,"✅ 已封禁用戶

• 用戶 ID: `{userId}`
• 暱稱: {nickname}
• 封禁時長: 永久","✅ 已封禁用户

• 用户 ID: `{userId}`
• 昵称: {nickname}
• 封禁时长: 永久","✅ User has been banned

• User ID: `{userId}`
• Nickname: {nickname}
• Ban Duration: Permanent",,,,,,,,,,,,,,"✅ تم حظر المستخدم

• معرف المستخدم: `{userId}`
• اللقب: {nickname}
• مدة الحظر: دائم",,,,,,,,,,,,,,,,,
