key,zh-TW,zh-CN,en
"ad_reward.text1","❌ 用戶不存在","",""
"ad_reward.text2","💎 VIP 用戶無需觀看廣告","",""
"ad_reward.text3","⚠️ 請先完成上一支廣告，再開始新的廣告","",""
"ad_reward.text4","⚠️ 無法觀看更多廣告","",""
"ad_reward.text5","⚠️ 暫無可用的廣告提供商","",""
"ad_reward.text6","⚠️ 無法選擇廣告提供商","",""
"ad_reward.text7","📺 開始觀看廣告","",""
"ad_reward.text8","🏠 返回主選單","",""
"ad_reward.text9","✅ 請點擊按鈕開始觀看","",""
"ad_reward.text10","❌ 發生錯誤，請稍後再試","",""
"ad_reward.text11","💡 繼續觀看廣告可獲得更多額度！","",""
"ad_reward.text12","✅ 今日廣告已達上限","",""
"ad_reward.text13","❌ 用戶不存在","",""
"ad_reward.text14","❌ 獲取廣告狀態失敗","",""
"admin_ad_config.text15","⚠️ 目前沒有配置任何廣告提供商

","",""
"admin_ad_config.text16","請使用資料庫腳本添加廣告提供商：
","",""
"admin_ad_config.text17","📺 **廣告提供商列表**

","",""
"admin_ad_config.text18","✅ 啟用","",""
"admin_ad_config.text19","❌ 停用","",""
"admin_ad_config.text20","**管理命令：**
","",""
"admin_ad_config.text21","• `/ad_provider_enable <id>` - 啟用
","",""
"admin_ad_config.text22","• `/ad_provider_disable <id>` - 停用
","",""
"admin_ad_config.text23","• `/ad_provider_priority <id> <priority>` - 設置優先級","",""
"admin_ad_config.text24","❌ 獲取廣告提供商列表失敗","",""
"admin_ad_config.text25","❌ 使用方法錯誤

","",""
"admin_ad_config.text26","**正確格式：**
","",""
"admin_ad_config.text27","❌ 啟用廣告提供商失敗","",""
"admin_ad_config.text28","❌ 使用方法錯誤

","",""
"admin_ad_config.text29","**正確格式：**
","",""
"admin_ad_config.text30","❌ 停用廣告提供商失敗","",""
"admin_ad_config.text31","❌ 使用方法錯誤

","",""
"admin_ad_config.text32","**正確格式：**
","",""
"admin_ad_config.text33","**範例：**
","",""
"admin_ad_config.text34","❌ 優先級必須是非負整數","",""
"admin_ad_config.text35","❌ 設置優先級失敗","",""
"admin_ad_config.text36","⚠️ 目前沒有官方廣告

","",""
"admin_ad_config.text37","請使用資料庫腳本添加官方廣告：
","",""
"admin_ad_config.text38","📢 **官方廣告列表**

","",""
"admin_ad_config.text39","✅ 啟用","",""
"admin_ad_config.text40","❌ 停用","",""
"admin_ad_config.text41","**管理命令：**
","",""
"admin_ad_config.text42","• `/official_ad_enable <id>` - 啟用
","",""
"admin_ad_config.text43","• `/official_ad_disable <id>` - 停用
","",""
"admin_ad_config.text44","• `/ad_stats <id>` - 查看詳細統計","",""
"admin_ad_config.text45","❌ 獲取官方廣告列表失敗","",""
"admin_ad_config.text46","❌ 使用方法錯誤

","",""
"admin_ad_config.text47","**正確格式：**
","",""
"admin_ad_config.text48","❌ 廣告 ID 必須是數字","",""
"admin_ad_config.text49","❌ 啟用官方廣告失敗","",""
"admin_ad_config.text50","❌ 使用方法錯誤

","",""
"admin_ad_config.text51","**正確格式：**
","",""
"admin_ad_config.text52","❌ 廣告 ID 必須是數字","",""
"admin_ad_config.text53","❌ 停用官方廣告失敗","",""
"admin_analytics.text54","❌ 你沒有權限查看分析數據","",""
"admin_analytics.text55","❌ 獲取分析數據失敗","",""
"admin_analytics.text56","❌ 你沒有權限查看廣告數據","",""
"admin_analytics.text57","❌ 獲取廣告數據失敗","",""
"admin_analytics.text58","❌ 你沒有權限查看 VIP 數據","",""
"admin_analytics.text59","❌ 獲取 VIP 漏斗數據失敗","",""
"admin_analytics.text60","❌ 只有超級管理員可以使用此命令。","",""
"admin_ban.text61","永久","",""
"admin_ban.text62","❌ 時長必須是正整數或 ""permanent""。","",""
"admin_ban.text63","❌ 只有超級管理員可以使用此命令。","",""
"admin_ban.text64","❌ 使用方法錯誤

","",""
"admin_ban.text65","**正確格式：**
","",""
"admin_ban.text66","**示例：**
","",""
"admin_ban.text67","`/admin_add 123456789` - 添加為普通管理員

","",""
"admin_ban.text68","💡 使用 /admin_list 查看當前管理員列表","",""
"admin_ban.text69","❌ 此用戶已經是超級管理員，無需添加。","",""
"admin_ban.text70","❌ 此用戶已經是管理員。","",""
"admin_ban.text71","❌ 用戶不存在或未註冊。","",""
"admin_ban.text72","未設定","",""
"admin_ban.text73","❌ 發生錯誤，請稍後再試。","",""
"admin_ban.text74","❌ 只有超級管理員可以使用此命令。","",""
"admin_ban.text75","❌ 使用方法錯誤

","",""
"admin_ban.text76","**正確格式：**
","",""
"admin_ban.text77","**示例：**
","",""
"admin_ban.text78","`/admin_remove 123456789` - 移除普通管理員

","",""
"admin_ban.text79","💡 使用 /admin_list 查看當前管理員列表","",""
"admin_ban.text80","❌ 無法移除超級管理員。","",""
"admin_ban.text81","❌ 此用戶不是管理員。","",""
"admin_ban.text82","未設定","",""
"admin_ban.text83","❌ 發生錯誤，請稍後再試。","",""
"admin_ban.text84","❌ 你沒有權限使用此命令。","",""
"admin_ban.text85","❌ 用戶不存在。","",""
"admin_ban.text86","📊 目前沒有封禁記錄","",""
"admin_ban.text87","📊 最近 10 條封禁記錄

","",""
"admin_ban.text88","永久","",""
"admin_ban.text89","💡 使用 /admin_bans <user_id> 查看特定用戶的封禁歷史","",""
"admin_ban.text90","永久","",""
"admin_ban.text91","❌ 你沒有權限使用此命令。","",""
"admin_ban.text92","✅ 目前沒有待審核的申訴","",""
"admin_ban.text93","📋 待審核申訴列表

","",""
"admin_ban.text94","💡 使用以下命令審核申訴：
","",""
"admin_ban.text95","/admin_approve <appeal_id> [備註]
","",""
"admin_ban.text96","/admin_reject <appeal_id> [備註]","",""
"admin_ban.text97","❌ 你沒有權限使用此命令。","",""
"admin_ban.text98","申訴已批准","",""
"admin_ban.text99","❌ 請提供申訴 ID

用法: /admin_approve <appeal_id> [備註]","",""
"admin_ban.text100","❌ 你沒有權限使用此命令。","",""
"admin_ban.text101","申訴被拒絕","",""
"admin_ban.text102","❌ 請提供申訴 ID

用法: /admin_reject <appeal_id> [備註]","",""
"admin_diagnose_avatar.text103","❌ **權限不足**

此命令僅限超級管理員使用。","",""
"admin_diagnose_avatar.text104","無","",""
"admin_diagnose_avatar.text105","✅ 是","",""
"admin_diagnose_avatar.text106","❌ 否","",""
"admin_diagnose_avatar.text107","未知","",""
"admin_diagnose_avatar.text108","❌ **診斷失敗**

","",""
"admin_refresh_vip_avatars.text109","❌ **權限不足**

此命令僅限超級管理員使用。","",""
"admin_refresh_vip_avatars.text110","✅ **無需刷新**

","",""
